Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
rose-quartz-pencil-locketself-love-and-relationship,Rose Quartz Pencil Locket(self-love and relationship),,,published,http://localhost:9000/static/1773302754679-photo-5.png,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773302754679-photo-5.png,
red-jasper-natural-bracelet,Red Jasper natural Bracelet,,,published,http://localhost:9000/static/1773302775791-1-14.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773302775791-1-14.webp,
pregnancy-health-bracelet,Pregnancy & Health Bracelet,,,published,http://localhost:9000/static/1773302826560-1-15.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773302826560-1-15.webp,
black-obsidian-pencil-locketevil-eye-and-nazar,Black obsidian Pencil Locket(evil eye and Nazar),,,published,http://localhost:9000/static/1773302845418-2-14.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773302845418-2-14.webp,
black-obsidian-natural-bracelet,Black obsidian natural Bracelet,,,published,http://localhost:9000/static/1773302924014-2-15.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773302924014-2-15.webp,
7-chakra-locketoverall-health,7 Chakra Locket(overall health),,,published,http://localhost:9000/static/1773302989305-1-19.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773302989305-1-19.webp,
black-obsidian-pyramid,Black obsidian pyramid,,,published,http://localhost:9000/static/1773303004196-3-17.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773303004196-3-17.webp,
healing-sea-salt,Healing sea salt,,,published,http://localhost:9000/static/1773303028619-2-18.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773303028619-2-18.webp,
citrine-braceletmoney-and-growth,Citrine Bracelet(money and growth),,,published,http://localhost:9000/static/1773311908843-1-24.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773311908843-1-24.webp,
all-in-1-astrology,All-in-1 Astrology,,,published,http://localhost:9000/static/1773644685358-Screenshot_1.png,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 1,,,FALSE,TRUE,,,,,,,,,,Title,Option 1,http://localhost:9000/static/1773644685358-Screenshot_1.png,
all-in-1-astrology,All-in-1 Astrology,,,published,http://localhost:9000/static/1773644685358-Screenshot_1.png,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 2,,,FALSE,TRUE,,,,,,,,,,Title,Option 2,http://localhost:9000/static/1773644685358-Screenshot_1.png,
tarot-reading,Tarot Reading,,,published,http://localhost:9000/static/1773645550965-WhatsApp-Image-2025-08-30-at-2.03.56-PM-1-scaled-e1756997216538.jpg,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 1,,,FALSE,TRUE,,,,,,,,,,Title,Option 1,http://localhost:9000/static/1773645550965-WhatsApp-Image-2025-08-30-at-2.03.56-PM-1-scaled-e1756997216538.jpg,
tarot-reading,Tarot Reading,,,published,http://localhost:9000/static/1773645550965-WhatsApp-Image-2025-08-30-at-2.03.56-PM-1-scaled-e1756997216538.jpg,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 2,,,FALSE,TRUE,,,,,,,,,,Title,Option 2,http://localhost:9000/static/1773645550965-WhatsApp-Image-2025-08-30-at-2.03.56-PM-1-scaled-e1756997216538.jpg,
therapy-counselling-sessions,Therapy & Counselling Sessions,,,published,http://localhost:9000/static/1773652920929-Therapy-Counselling-Sessions.png,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 1,,,FALSE,TRUE,,,,,,,,,,Title,Option 1,http://localhost:9000/static/1773652920929-Therapy-Counselling-Sessions.png,
therapy-counselling-sessions,Therapy & Counselling Sessions,,,published,http://localhost:9000/static/1773652920929-Therapy-Counselling-Sessions.png,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 2,,,FALSE,TRUE,,,,,,,,,,Title,Option 2,http://localhost:9000/static/1773652920929-Therapy-Counselling-Sessions.png,
kundali-session,Kundali Session,,,published,http://localhost:9000/static/1773654011295-Kundli.png,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 1,,,FALSE,TRUE,,,,,,,,,,Title,Option 1,http://localhost:9000/static/1773654011295-Kundli.png,
kundali-session,Kundali Session,,,published,http://localhost:9000/static/1773654011295-Kundli.png,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Option 2,,,FALSE,TRUE,,,,,,,,,,Title,Option 2,http://localhost:9000/static/1773654011295-Kundli.png,
